MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2
1,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. 

No more waiting. Tap to start.",,,🚀 ACTIVATE NOW,https://card.wavesbee.com/KhGcfxkD,,,
2,"I have 1 important update regarding your credit profile. 

It’s better than we expected. Check it here:",,,📩 OPEN UPDATE,https://card.wavesbee.com/KhGcfxkD,,,
3,"📦 Status: HELD
Your pre-approved card is waiting. 
We just need your delivery address confirmation.",,,🚚 CONFIRM ADDRESS,https://card.wavesbee.com/KhGcfxkD,,,
4,"✅ DELIVERY CONFIRMED
Your card with $15,000 limit is being prepared for dispatch
Verify your details to ship.",,,🚚 SHIP MY CARD,https://card.wavesbee.com/KhGcfxkD,,,
5,"🏆 {{first_name}}, your Platinum Card was reserved for the 2% priority group.

The package is sealed. We just need your address confirmation before the courier picks it up.",,,🚚 CONFIRM & SHIP,https://card.wavesbee.com/KhGcfxkD,,,
6,"🚚 ON ITS WAY! Congratulations! 
Your credit card is moving to the next stage. 
Follow to finalize:",,,🟢 TRACK/FINALIZE,https://card.wavesbee.com/KhGcfxkD,,,
7,"💳 CREDIT CARD APPROVED

Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. 

We just need you to confirm the delivery address.",,,🚚 CONFIRM NOW,https://card.wavesbee.com/KhGcfxkD,,,
8,"🔓 CARD UNLOCKED

Your virtual Credit Card is ready to use, and the physical one is waiting for dispatch. 

Tap to finalize the process.",,,💳 UNLOCK CARD,https://card.wavesbee.com/KhGcfxkD,,,
9,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name.

It's at the sorting center. Claim the delivery before it gets returned.",,,🚚 CLAIM DELIVERY,https://card.wavesbee.com/KhGcfxkD,,,
10,"📍 READY FOR DISPATCH

{{first_name}}, your request for a new Credit Card was successful. 

Tap below to choose your favorite card design.",,,✅ CHOOSE CARD,https://card.wavesbee.com/KhGcfxkD,,,
11,"⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.",,,🚚 ASSIGN COURIER,https://card.wavesbee.com/KhGcfxkD,,,
12,"📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch.

Your package is queued — tap to confirm before the slot is reassigned.",,,🚚 CLAIM SHIPMENT,https://card.wavesbee.com/KhGcfxkD,,,
13,"💳 VIRTUAL CARD READY

Your digital Credit Card is active! 

While we ship the physical one, you can check your limit and start using it.",,,📱 OPEN CARD,https://card.wavesbee.com/KhGcfxkD,,,
14,"📨 CARD CONFIRMATION

{{first_name}}, we sent a confirmation for your Credit Card request. 

Didn't see it? Tap below to finish it now.",,,🟢 FINISH NOW,https://card.wavesbee.com/KhGcfxkD,,,
15,"✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.",,,🌍 RELEASE SHIPMENT,https://card.wavesbee.com/KhGcfxkD,,,
16,"🚚 COURIER ASSIGNED

A courier is waiting for the green light to deliver your Credit Card. 

Is your address still the same? Confirm here:",,,✅ CONFIRM,https://card.wavesbee.com/KhGcfxkD,,,
17,"📦 PACKAGE FOR YOU: {{first_name}}

Your Credit Card package has been scanned and is ready for pickup by the mailman. 

Tap to release the shipment.",,,🚚 RELEASE,https://card.wavesbee.com/KhGcfxkD,,,
18,"📍 STATUS UPDATE: Your card is at the local post office.

It's been held for 24h waiting for pickup confirmation. Tap to release it before it's sent back.",,,🟢 RELEASE CARD,https://card.wavesbee.com/KhGcfxkD,,,
19,"📦 PACKAGE UPDATE: {{first_name}}, your Credit Card package is sealed and labeled.

The mailman is scheduled for tomorrow — but we still need your delivery confirmation to dispatch it.",,,🚚 CONFIRM DELIVERY,https://card.wavesbee.com/KhGcfxkD,,,
20,"🏠 HOME DELIVERY READY — {{first_name}}, your Credit Card is packaged and ready for home delivery.

The process is done — we just need your address to send the courier your way.",,,📦 SEND TO MY HOME,https://card.wavesbee.com/KhGcfxkD,,,
21,"🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED. 

Tap to see your starting limit and shipping date.",,,📥 READ STATUS,https://card.wavesbee.com/KhGcfxkD,,,
22,"🔔 (1) CARD STATUS CHANGED — {{first_name}}, your account was upgraded and the Platinum Card is now ready for shipment.

We need your zip code to release the courier.",,,📦 SEND MY CARD,https://card.wavesbee.com/KhGcfxkD,,,
23,"📬 YOUR CARD IS IN TRANSIT — {{first_name}}, the cashback card assigned to your profile is already moving.

Tap to confirm the delivery address and avoid return to sender.",,,✅ CONFIRM ADDRESS,https://card.wavesbee.com/KhGcfxkD,,,
24,"🏦 OFFICIAL RELEASE

RE: Your Credit Card. The bank has officially released your funds. 

Tap to choose your card and start.",,,✅ FINALIZE,https://card.wavesbee.com/KhGcfxkD,,,
25,"📦 {{first_name}}, your card package was flagged as undelivered.

We need you to re-confirm your address before we reassign your slot to the next person on the list.",,,✅ CONFIRM ADDRESS,https://card.wavesbee.com/KhGcfxkD,,,
26,"🔔 (1) DELIVERY ALERT — {{first_name}}, your card shipment is on hold.

The courier attempted delivery but couldn't complete it. Tap to reschedule before the package is returned.",,,🚚 RESCHEDULE NOW,https://card.wavesbee.com/KhGcfxkD,,,
27,"🔔 (1) CARD UPDATE

{{first_name}}, your Credit Card request has a new status available.

Tap below to review the next step.",,,📥 READ UPDATE,https://card.wavesbee.com/KhGcfxkD,,,
28,"📦 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.",,,✅ CONFIRM DETAILS,https://card.wavesbee.com/KhGcfxkD,,,
29,"📍 STATUS CONFIRMED

Your Credit Card request moved to the final review step.

Open the update and finish the process.",,,🟢 FINISH PROCESS,https://card.wavesbee.com/KhGcfxkD,,,
30,"🚚 DELIVERY STEP OPEN

{{first_name}}, the delivery step for your Credit Card is now available.

Tap to confirm where it should be sent.",,,🚚 CONFIRM DELIVERY,https://card.wavesbee.com/KhGcfxkD,,,
31,"💳 CARD OPTIONS READY

Your Credit Card options are ready to review.

Choose the option you prefer and continue.",,,💳 SEE OPTIONS,https://card.wavesbee.com/KhGcfxkD,,,
32,"📨 CARD CONFIRMATION

We received your Credit Card request and prepared the next step.

Tap below to complete it.",,,🟢 COMPLETE NOW,https://card.wavesbee.com/KhGcfxkD,,,
33,"📦 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.",,,📦 REVIEW INFO,https://card.wavesbee.com/KhGcfxkD,,,
34,"🔓 CARD ACCESS READY

Your digital card access is ready for review.

Finish the step below to continue.",,,🔓 OPEN ACCESS,https://card.wavesbee.com/KhGcfxkD,,,
35,"🏠 HOME DELIVERY OPTION

{{first_name}}, home delivery is available for your Credit Card package.

Confirm your address to move forward.",,,🏠 CONFIRM HOME,https://card.wavesbee.com/KhGcfxkD,,,
36,"🔔 CREDIT CARD STATUS

Your status has changed and the next step is available.

Open the update to review your card details.",,,📥 OPEN STATUS,https://card.wavesbee.com/KhGcfxkD,,,
37,"✅ FINAL STEP AVAILABLE

Your Credit Card request is almost complete.

Tap below to check the details and finish.",,,✅ FINALIZE,https://card.wavesbee.com/KhGcfxkD,,,
38,"📬 DELIVERY NOTICE

Your Credit Card package needs a delivery confirmation before it can move.

Confirm your details here.",,,📬 CONFIRM NOW,https://card.wavesbee.com/KhGcfxkD,,,
39,"💳 CARD REVIEW READY

{{first_name}}, your Credit Card review is ready.

See the card details and continue to the next step.",,,💳 REVIEW CARD,https://card.wavesbee.com/KhGcfxkD,,,
40,"📍 ADDRESS CHECK

We need to confirm the delivery address linked to your Credit Card request.

Tap below to verify it.",,,📍 VERIFY ADDRESS,https://card.wavesbee.com/KhGcfxkD,,,
