"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📬 DELIVERY NOTICE

Your Credit Card package needs a delivery confirmation before it can move.

Confirm your details here.","","","📬 CONFIRM NOW","https://conectageral.com/cg-us-cc-en-mct-001","","","",""
"2","📍 STATUS CHECKPOINT

Your Credit Card request reached a new checkpoint.
Review the status and confirm the next step below.","","","📍 CHECK STATUS","https://conectageral.com/cg-us-cc-en-mct-001-2","","","",""
"3","📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch.

Your package is queued — tap to confirm before the slot is reassigned.","","","🚚 CLAIM SHIPMENT","https://conectageral.com/cg-us-cc-en-mct-002","","","",""
"4","✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.","","","🌍 RELEASE SHIPMENT","https://conectageral.com/cg-us-cc-en-mct-002-2","","","",""
"5","📦 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","✅ CONFIRM DETAILS","https://conectageral.com/cg-us-cc-en-mct-003","","","",""
"6","🚚 COURIER STEP READY

The courier step for your Credit Card package is available.

Confirm the delivery information to continue.","","","🚚 START DELIVERY","https://conectageral.com/cg-us-cc-en-mct-003-2","","","",""
"7","💳 CARD REVIEW READY

Your Credit Card review is available now.
Check the details prepared for your profile and continue from the secure page.","","","💳 REVIEW CARD","https://conectageral.com/cg-us-cc-en-mct-004","","","",""
"8","📝 CARD REQUEST REVIEW

Your Credit Card request review is ready.
Check the details and confirm the next step.","","","📝 REVIEW NOW","https://conectageral.com/cg-us-cc-en-mct-005","","","",""
"9","✅ REQUEST CONFIRMATION

Your request confirmation is ready.
Review the Credit Card details and complete it now.","","","✅ COMPLETE NOW","https://conectageral.com/cg-us-cc-en-mct-005-2","","","",""
"10","📋 REQUEST READY TO REVIEW

Your Credit Card request is ready to review.
Check the information and complete the available step.","","","📋 REVIEW NOW","https://conectageral.com/cg-us-cc-en-mct-006","","","",""
