"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","⚠️ Important update,

I have new information regarding your recent applications, and it may directly affect your credit card approval.
Take a moment to review the next steps.

👇 When you're ready, choose your next step below:","","","🔍 SEE RESPONSE OF MY CARD","https://finance.topfeed.fun/ftf-gb-cc-en-mct-001/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📬 UNCLAIMED PACKAGE. A Credit Card package worth £14,200 in limit is sitting unclaimed under your name.

It's at the sorting center. Claim the delivery before it gets returned.","","","🚚 CLAIM DELIVERY","https://finance.topfeed.fun/ftf-gb-cc-en-mct-002/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","💳 CREDIT CARD APPROVED

Congratulations! Your new Credit Card is ready for dispatch.

We just need you to confirm the delivery address.","","","🚚 CONFIRM NOW","https://finance.topfeed.fun/ftf-gb-cc-en-mct-003/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","💳 REVIEW CARD","https://finance.topfeed.fun/ftf-gb-cc-en-mct-004/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","📋 CARD REQUEST STATUS

A status check is available for your card profile. Review the details before moving forward.","","","📋 CHECK STATUS","https://finance.topfeed.fun/ftf-gb-cc-en-mct-005/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","✅ CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","✅ SEE OPTIONS","https://finance.topfeed.fun/ftf-gb-cc-en-mct-006/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","🔎 CARD REVIEW AVAILABLE

The card recommendation flow has new details available. Check the page to continue.","","","🔎 CONTINUE","https://finance.topfeed.fun/ftf-gb-cc-en-mct-007/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","📌 APPLICATION STEP READY

Your profile review is ready for confirmation. Open the card update to see the result.","","","📌 REVIEW UPDATE","https://finance.topfeed.fun/ftf-gb-cc-en-mct-008/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","📦 PACKAGE UPDATE: your Credit Card package is sealed and labeled.

The mailman is scheduled for tomorrow. But we still need your delivery confirmation to dispatch it.","","","🚚 CONFIRM DELIVERY","https://finance.topfeed.fun/ftf-gb-cc-en-mct-009/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","🔔 CARD MATCH UPDATE

A card selection step is available now. Review the page and continue from there.","","","🔔 OPEN REVIEW","https://finance.topfeed.fun/ftf-gb-cc-en-mct-010/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
