"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","🔎 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","🔎 CONFIRM DETAILS","https://cliquet.com/cq-us-cc-en-mct-001/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","🔔 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","🔔 CONFIRM DETAILS","https://cliquet.com/cq-us-cc-en-mct-002/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","📋 REVIEW STEP OPEN

Your credit profile has card options available to review. Open the update and check the next step.","","","📋 CONFIRM DETAILS","https://cliquet.com/cq-us-cc-en-mct-003/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✅ REVIEW STEP OPEN

Your credit profile has card options available to review. Open the update and check the next step.","","","✅ CONFIRM DETAILS","https://cliquet.com/cq-us-cc-en-mct-004/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","🔎 REVIEW STEP OPEN 

A new update for your request is available. Open the information and review the latest details.","","","🔎 CONFIRM DETAILS","https://cliquet.com/cq-us-cc-en-mct-005/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","🔍 REVIEW CARD","https://cliquet.com/cq-us-cc-en-mct-006/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","📋 CARD REQUEST STATUS

A status check is available for your card profile. Review the details before moving forward.","","","✅ CHECK STATUS","https://cliquet.com/cq-us-cc-en-mct-007/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🔎 CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","📋 SEE OPTIONS","https://cliquet.com/cq-us-cc-en-mct-008/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ CARD REVIEW AVAILABLE

The card recommendation flow has new details available. Check the page to continue.","","","➡️ CONTINUE","https://cliquet.com/cq-us-cc-en-mct-009/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📌 APPLICATION STEP READY

Your profile review is ready for confirmation. Open the card update to see the result.","","","💳 REVIEW UPDATE","https://cliquet.com/cq-us-cc-en-mct-010/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","💬 CARD MATCH UPDATE

A card selection step is available now. Review the page and continue from there.","","","🔎 OPEN REVIEW","https://cliquet.com/cq-us-cc-en-mct-011/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
