MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2
1,"🔔 CARD STATUS UPDATE

{{first_name}}, your Credit Card request has a new update available.

Open the update to review the details and continue.",,,OPEN UPDATE,https://memivi-usa.com/us-en-bd1-1,,,
2,"✅ CONFIRMATION NEEDED

Your Credit Card request is waiting for one confirmation step.

Confirm the details here to keep the request active.",,,REVIEW DETAILS,https://memivi-usa.com/us-en-bd2-1,,,
3,"💳 CARD REVIEW READY

{{first_name}}, your card details are ready for review.

Tap below to check the information and move forward.",,,VIEW CARD,https://memivi-usa.com/us-en-bd3-1,,,
4,"📩 REQUEST UPDATE

A new update is available for your Credit Card request.

Open the update to see the next step.",,,READ STATUS,https://memivi-usa.com/us-en-bd4-1,,,
5,"📍 INFORMATION CHECK

Your card request needs a quick information check.

Check the details and confirm if everything is correct.",,,CONTINUE,https://memivi-usa.com/us-en-bd5-1,,,
6,"📦 DELIVERY STEP READY

The delivery step for your Credit Card package is available.

Confirm where the card should be sent to continue.",,,CONFIRM DETAILS,https://memivi-usa.com/us-en-bd6-1,,,
7,"🔓 CARD ACCESS READY

Your card access step is open for review.

Open the access page and complete the available step.",,,OPEN ACCESS,https://memivi-usa.com/us-en-bd7-1,,,
8,"📬 NOTICE AVAILABLE

{{first_name}}, a card request notice is available in your profile.

Read the notice and follow the next instruction.",,,VERIFY INFO,https://memivi-usa.com/us-en-bd8-1,,,
9,"🟢 NEXT STEP READY

Your Credit Card process has moved to the next step.

Continue below to review what is needed now.",,,FINALIZE STEP,https://memivi-usa.com/us-en-bd9-1,,,
10,"📋 REQUEST RECEIVED

We received your Credit Card request successfully.

Review the request details and continue to the next page.",,,SEE OPTIONS,https://memivi-usa.com/us-en-bd10-1,,,
11,"🔔 STATUS CHANGED

{{first_name}}, your Credit Card status has changed.

Tap to open the status page to review the update.",,,OPEN NOTICE,https://memivi-usa.com/us-en-bd1-1,,,
12,"✅ FINAL STEP AVAILABLE

The final review step for your card request is available.

Complete the step below to finish the confirmation.",,,CONFIRM DELIVERY,https://memivi-usa.com/us-en-bd2-1,,,
13,"💳 CARD OPTIONS READY

Your Credit Card options are ready to review.

Choose the available option and continue.",,,REVIEW REQUEST,https://memivi-usa.com/us-en-bd3-1,,,
14,"📩 PROFILE UPDATE

A pending card update is waiting in your profile.

Check the update and confirm the next step.",,,COMPLETE NOW,https://memivi-usa.com/us-en-bd4-1,,,
15,"📍 ADDRESS CHECK

The address check for your Credit Card request is open.

Verify the information before the request moves forward.",,,CHECK UPDATE,https://memivi-usa.com/us-en-bd5-1,,,
16,"📦 PACKAGE CONFIRMATION

Your card package step is waiting for confirmation.

Confirm the delivery details to keep it moving.",,,OPEN UPDATE,https://memivi-usa.com/us-en-bd6-1,,,
17,"🔓 ACCESS NOTICE

Your Credit Card access notice is ready.

Tap to open the notice to review the available step.",,,REVIEW DETAILS,https://memivi-usa.com/us-en-bd7-1,,,
