MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2
1,"🔔 CARD STATUS UPDATE

{{first_name}}, your card request has a new status ready.
Open the update to review the next step and keep the process active.",,,📥 OPEN UPDATE,https://memivi-usa.com/us-en-bd1-1,,,
2,"💳 CARD REVIEW READY

Your Credit Card review is available now.
Check the details prepared for your profile and continue from the secure page.",,,💳 REVIEW CARD,https://memivi-usa.com/us-en-bd2-1,,,
3,"✅ REQUEST RECEIVED

{{first_name}}, your Credit Card request was received successfully.
One confirmation step is available before the next review.",,,✅ CONFIRM NOW,https://memivi-usa.com/us-en-bd3-1,,,
4,"📩 PROFILE UPDATE

A new card-related update was added to your profile.
Open it to see the available option and follow the next instruction.",,,📩 READ UPDATE,https://memivi-usa.com/us-en-bd4-1,,,
5,"🔎 CARD OPTIONS CHECK

{{first_name}}, your card options are ready to compare.
Review the available selection and choose how you want to continue.",,,🔎 SEE OPTIONS,https://memivi-usa.com/us-en-bd5-1,,,
6,"🟢 NEXT STEP OPEN

The next step for your Credit Card request is open.
Review your details and continue while the page is available.",,,🟢 CONTINUE,https://memivi-usa.com/us-en-bd6-1,,,
7,"📌 CONFIRM DETAILS

{{first_name}}, your card request needs a quick details check.
Confirm the information so the review can move forward.",,,📌 CONFIRM DETAILS,https://memivi-usa.com/us-en-bd7-1,,,
8,"💼 CARD PROFILE NOTICE

Your card profile has a new notice waiting.
Read the notice and complete the available step below.",,,💼 OPEN NOTICE,https://memivi-usa.com/us-en-bd8-1,,,
9,"📋 REVIEW YOUR REQUEST

{{first_name}}, your Credit Card request is ready for review.
Open the page to check the information saved for you.",,,📋 REVIEW REQUEST,https://memivi-usa.com/us-en-bd9-1,,,
10,"🔐 SECURE CARD ACCESS

Your secure card access page is ready.
Open it to review the next step connected to your request.",,,🔐 OPEN ACCESS,https://memivi-usa.com/us-en-bd10-1,,,
11,"⭐ CARD MATCH READY

{{first_name}}, a card match is ready to view.
Check the recommendation and continue if the details look right.",,,⭐ VIEW MATCH,https://memivi-usa.com/us-en-bd1-1,,,
12,"📍 STATUS CHECKPOINT

Your Credit Card request reached a new checkpoint.
Review the status and confirm the next step below.",,,📍 CHECK STATUS,https://memivi-usa.com/us-en-bd2-1,,,
13,"📝 APPLICATION REVIEW

{{first_name}}, your card application review is available.
Open the update to see what is ready and continue.",,,📝 START REVIEW,https://memivi-usa.com/us-en-bd3-1,,,
14,"📬 CARD NOTICE WAITING

A card notice is waiting in your profile.
Read it now and follow the available instruction on the next page.",,,📬 READ NOTICE,https://memivi-usa.com/us-en-bd4-1,,,
15,"🔄 REQUEST UPDATED

{{first_name}}, your request information was updated.
Review the new card step and continue from the link below.",,,🔄 CHECK UPDATE,https://memivi-usa.com/us-en-bd5-1,,,
16,"💳 CARD SELECTION OPEN

Your card selection page is open.
Compare the available option and continue to the next step.",,,💳 CHOOSE CARD,https://memivi-usa.com/us-en-bd6-1,,,
17,"✅ CONFIRMATION READY

{{first_name}}, your confirmation step is ready.
Check the card details and complete the step below.",,,✅ COMPLETE NOW,https://memivi-usa.com/us-en-bd7-1,,,
18,"📊 PROFILE CHECK READY

Your Credit Card profile check is ready.
Verify the information and keep your request moving forward.",,,📊 VERIFY PROFILE,https://memivi-usa.com/us-en-bd8-1,,,
19,"🔔 NEW CARD UPDATE

{{first_name}}, a new card update is available.
Open it to review the current status and next instruction.",,,🔔 READ STATUS,https://memivi-usa.com/us-en-bd9-1,,,
20,"🟣 REQUEST STEP READY

A request step is ready in your card profile.
Open the page, review the details, and continue safely.",,,🟣 OPEN STEP,https://memivi-usa.com/us-en-bd10-1,,,
21,"📎 CARD DETAILS READY

{{first_name}}, your card details are ready to review.
Confirm the information before moving to the next step.",,,📎 REVIEW DETAILS,https://memivi-usa.com/us-en-bd1-1,,,
22,"🧾 CARD FILE UPDATED

Your card file has a fresh update.
Open the details page to review the information now available.",,,🧾 OPEN FILE,https://memivi-usa.com/us-en-bd2-1,,,
23,"📥 IMPORTANT CARD NOTICE

{{first_name}}, an important notice is ready for your card request.
Read it now and complete the available action.",,,📥 OPEN NOTICE,https://memivi-usa.com/us-en-bd3-1,,,
24,"🟢 REQUEST STILL ACTIVE

Your Credit Card request is still active.
Complete the next available step to keep the review moving.",,,🟢 CONTINUE,https://memivi-usa.com/us-en-bd4-1,,,
25,"🔍 CHECK CARD STATUS

{{first_name}}, your card status is ready to check.
Open the update and review the next instruction.",,,🔍 CHECK STATUS,https://memivi-usa.com/us-en-bd5-1,,,
26,"💬 CARD MESSAGE READY

A new message about your card request is ready.
Read it and continue from the secure page below.",,,💬 READ MESSAGE,https://memivi-usa.com/us-en-bd6-1,,,
27,"🏦 CARD REVIEW NOTICE

{{first_name}}, your card review notice is available.
Check the information and continue to the next step.",,,🏦 REVIEW NOTICE,https://memivi-usa.com/us-en-bd7-1,,,
28,"⚡ QUICK CARD CHECK

A quick card check is ready for your profile.
Verify the details and continue with the available option.",,,⚡ CHECK NOW,https://memivi-usa.com/us-en-bd8-1,,,
