MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2
1,"CARD STATUS READY

{{first_name}}, your card request has a new status available. Review the next step and continue when ready.",,,READ STATUS,https://memivi-usa.com/us-en-bd1-1,,,
2,"REQUEST UPDATE

Your Credit Card request was received and the next step is now available. Open the update to review it.",,,OPEN UPDATE,https://memivi-usa.com/us-en-bd2-1,,,
3,"CONFIRMATION STEP

{{first_name}}, one confirmation is needed before your card request can continue. Check the details below.",,,CONFIRM DETAILS,https://memivi-usa.com/us-en-bd3-1,,,
4,"CARD REVIEW

Your card details are ready for review. Open the page to see the available option and continue.",,,REVIEW CARD,https://memivi-usa.com/us-en-bd4-1,,,
5,"PROFILE NOTICE

A new notice was added to your Credit Card profile. Read it now and follow the next instruction.",,,OPEN NOTICE,https://memivi-usa.com/us-en-bd5-1,,,
6,"NEXT STEP OPEN

{{first_name}}, the next step for your Credit Card request is open. Continue below to review your information.",,,CONTINUE,https://memivi-usa.com/us-en-bd6-1,,,
7,"DETAILS CHECK

Your card request needs a quick details check. Verify the information so the process can move forward.",,,VERIFY INFO,https://memivi-usa.com/us-en-bd7-1,,,
8,"CARD OPTIONS

{{first_name}}, your card options are ready to view. Choose the available option and continue the request.",,,SEE OPTIONS,https://memivi-usa.com/us-en-bd8-1,,,
9,"STATUS NOTICE

A status notice is available for your Credit Card request. Open it to review what changed.",,,READ NOTICE,https://memivi-usa.com/us-en-bd9-1,,,
10,"REQUEST RECEIVED

We received your Credit Card request successfully. Complete the next step to keep it active.",,,COMPLETE STEP,https://memivi-usa.com/us-en-bd10-1,,,
11,"DELIVERY STEP

{{first_name}}, the delivery step is ready for your card request. Confirm the information below.",,,CONFIRM DELIVERY,https://memivi-usa.com/us-en-bd1-1,,,
12,"CARD ACCESS

Your card access page is available. Open it to review the details and continue safely.",,,OPEN ACCESS,https://memivi-usa.com/us-en-bd2-1,,,
13,"FINAL REVIEW

The final review step for your Credit Card request is available. Check the details before continuing.",,,FINAL REVIEW,https://memivi-usa.com/us-en-bd3-1,,,
14,"INFORMATION UPDATE

{{first_name}}, your request information has been updated. Open the update to review the next step.",,,CHECK UPDATE,https://memivi-usa.com/us-en-bd4-1,,,
15,"CARD NOTICE

There is a new notice about your card request. Read the notice and continue with the available step.",,,READ NOTICE,https://memivi-usa.com/us-en-bd5-1,,,
16,"ACTION NEEDED

Your Credit Card request is waiting for one action. Review the details and complete the step below.",,,REVIEW DETAILS,https://memivi-usa.com/us-en-bd6-1,,,
17,"APPLICATION STATUS

{{first_name}}, your card application status is ready to check. Open the page to continue.",,,CHECK STATUS,https://memivi-usa.com/us-en-bd7-1,,,
18,"REVIEW AVAILABLE

A review is available for your Credit Card request. Confirm the details to keep the process moving.",,,START REVIEW,https://memivi-usa.com/us-en-bd8-1,,,
19,"CARD SELECTION

Your card selection step is ready. Open the page and choose the option you prefer.",,,CHOOSE CARD,https://memivi-usa.com/us-en-bd9-1,,,
20,"PROFILE UPDATE

{{first_name}}, your profile has a Credit Card update waiting. Read it and continue the request.",,,OPEN PROFILE,https://memivi-usa.com/us-en-bd10-1,,,
21,"CONFIRM REQUEST

Your Credit Card request needs confirmation. Tap below to review the information and continue.",,,CONFIRM NOW,https://memivi-usa.com/us-en-bd1-1,,,
22,"UPDATE READY

A new Credit Card update is ready for you. Open it now to review the next instruction.",,,OPEN UPDATE,https://memivi-usa.com/us-en-bd2-1,,,
