SOURCE,ORIGINAL MESSAGE ID,MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2,APPROVAL STATUS,PAGE TESTED,TEMPLATE,TESTED AT,NOTES
approved_seed_felipe_56,1,1,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. 

No more waiting. Tap to start.",,,🚀 ACTIVATE NOW,https://memivi-usa.com/us-en-bd1-1,,,,,,,,
approved_seed_felipe_56,2,2,"I have 1 important update regarding your credit profile. 

It’s better than we expected. Check it here:",,,📩 OPEN UPDATE,https://memivi-usa.com/us-en-bd2-1,,,,,,,,
approved_seed_felipe_56,3,3,"📦 Status: HELD
Your pre-approved card is waiting. 
We just need your delivery address confirmation.",,,🚚 CONFIRM ADDRESS,https://memivi-usa.com/us-en-bd3-1,,,,,,,,
approved_seed_felipe_56,4,4,"✅ DELIVERY CONFIRMED
Your card with $15,000 limit is being prepared for dispatch
Verify your details to ship.",,,🚚 SHIP MY CARD,https://memivi-usa.com/us-en-bd4-1,,,,,,,,
approved_seed_felipe_56,5,5,"🏆 {{first_name}}, your Platinum Card was reserved for the 2% priority group.

The package is sealed. We just need your address confirmation before the courier picks it up.",,,🚚 CONFIRM & SHIP,https://memivi-usa.com/us-en-bd5-1,,,,,,,,
approved_seed_felipe_56,6,6,"🚚 ON ITS WAY! Congratulations! 
Your credit card is moving to the next stage. 
Follow to finalize:",,,🟢 TRACK/FINALIZE,https://memivi-usa.com/us-en-bd6-1,,,,,,,,
approved_seed_felipe_56,7,7,"💳 CREDIT CARD APPROVED

Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. 

We just need you to confirm the delivery address.",,,🚚 CONFIRM NOW,https://memivi-usa.com/us-en-bd7-1,,,,,,,,
approved_seed_felipe_56,8,8,"🔓 CARD UNLOCKED

Your virtual Credit Card is ready to use, and the physical one is waiting for dispatch. 

Tap to finalize the process.",,,💳 UNLOCK CARD,https://memivi-usa.com/us-en-bd8-1,,,,,,,,
approved_seed_felipe_56,9,9,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name.

It's at the sorting center. Claim the delivery before it gets returned.",,,🚚 CLAIM DELIVERY,https://memivi-usa.com/us-en-bd9-1,,,,,,,,
approved_seed_felipe_56,10,10,"📍 READY FOR DISPATCH

{{first_name}}, your request for a new Credit Card was successful. 

Tap below to choose your favorite card design.",,,✅ CHOOSE CARD,https://memivi-usa.com/us-en-bd10-1,,,,,,,,
approved_seed_felipe_56,11,11,"⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.",,,🚚 ASSIGN COURIER,https://memivi-usa.com/us-en-bd1-1,,,,,,,,
approved_seed_felipe_56,12,12,"📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch.

Your package is queued — tap to confirm before the slot is reassigned.",,,🚚 CLAIM SHIPMENT,https://memivi-usa.com/us-en-bd2-1,,,,,,,,
approved_seed_felipe_56,13,13,"💳 VIRTUAL CARD READY

Your digital Credit Card is active! 

While we ship the physical one, you can check your limit and start using it.",,,📱 OPEN CARD,https://memivi-usa.com/us-en-bd3-1,,,,,,,,
approved_seed_felipe_56,14,14,"📨 CARD CONFIRMATION

{{first_name}}, we sent a confirmation for your Credit Card request. 

Didn't see it? Tap below to finish it now.",,,🟢 FINISH NOW,https://memivi-usa.com/us-en-bd4-1,,,,,,,,
