"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","⚠️ Önemli güncelleme, {{first_name}}

Son başvurularınla ilgili yeni bilgiler var ve bu durum kredi kartı onayını doğrudan etkileyebilir.
Sonraki adımları incele.

👇 Hazır olduğunda aşağıdan sonraki adımı seç:","","","🔍 KART YANITIMI GÖR","https://fincgriffin.com/fincg-tr-cc-tr-mct-001/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📬 TESLİM ALINMAMIŞ PAKET — {{first_name}}, adına 14.200 TL limitli bir Kredi Kartı paketi bekliyor.

Sıralama merkezinde. İade edilmeden önce teslimatı onayla.","","","🚚 TESLİMATI AL","https://fincgriffin.com/fincg-tr-cc-tr-mct-002/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","💳 KREDİ KARTI ONAYLANDI

Tebrikler, {{first_name}}! Yeni Kredi Kartın gönderime hazır.

Sadece teslimat adresini doğrulamamız gerekiyor.","","","🚚 ŞİMDİ ONAYLA","https://fincgriffin.com/fincg-tr-cc-tr-mct-003/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✅ TESLİMAT ONAYLANDI
15.000 TL limitli kartın gönderim için hazırlanıyor.
Gönderim için bilgilerini doğrula.","","","🚚 KARTIMI GÖNDER","https://fincgriffin.com/fincg-tr-cc-tr-mct-004/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","⚡ KART GÖNDERİLDİ — Bekleme yok. {{first_name}}, Kredi Kartın anında onaylandı ve teslimat sistemine alındı.

Kuryeyi atamak ve bugün almak için dokun.","","","🚚 KURYE ATA","https://fincgriffin.com/fincg-tr-cc-tr-mct-005/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","📦 GÖNDERİM GÜNCELLEMESİ

Kredi Kartı paketin gönderimden önce son bir onay bekliyor.

Bilgilerini burada incele.","","","📦 BİLGİLERİ İNCELE","https://fincgriffin.com/fincg-tr-cc-tr-mct-006/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","✅ YETKİ VERİLDİ: {{first_name}}, yeni kartını etkinleştirebilirsin.

Daha fazla bekleme. Başlamak için dokun.","","","🚀 ŞİMDİ ETKİNLEŞTİR","https://fincgriffin.com/fincg-tr-cc-tr-mct-007/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🔔 (1) YENİ KART GÜNCELLEMESİ

Kredi Kartı durumun şu şekilde değişti: ONAYLANDI.

Başlangıç limitini ve gönderim tarihini görmek için dokun.","","","📥 DURUMU OKU","https://fincgriffin.com/fincg-tr-cc-tr-mct-008/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ BAŞVURU ALINDI

{{first_name}}, Kredi Kartı başvurun başarıyla alındı.
Sonraki incelemeden önce bir onay adımı mevcut.","","","✅ ŞİMDİ ONAYLA","https://fincgriffin.com/fincg-tr-cc-tr-mct-009/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📍 DURUM ONAYLANDI

Kredi Kartı başvurun son inceleme adımına geçti.

Güncellemeyi aç ve işlemi tamamla.","","","🟢 İŞLEMİ TAMAMLA","https://fincgriffin.com/fincg-tr-cc-tr-mct-010/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
