"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💼 APPLICATION STATUS UPDATE

Your job application has a new review step available. Open the update to continue.","","","💼 CHECK STATUS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📋 REQUEST RECEIVED

Your application was received successfully. Confirm the next step to keep it active.","","","✅ CONFIRM NOW","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","🔎 REVIEW READY

Your profile is ready for review. Check the available details on the secure page.","","","🔎 REVIEW PROFILE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","📍 STATUS CHECKPOINT

Your application reached a new checkpoint. Review the information and continue.","","","📍 CHECK UPDATE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","✅ PRE-CHECK AVAILABLE

A pre-check step is available for your application. Open it to review the next action.","","","✅ OPEN PRE-CHECK","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","📬 UPDATE WAITING

There is an update waiting for your application. Review it before the request expires.","","","📬 OPEN UPDATE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","📝 CONFIRM DETAILS

Your request needs one confirmation before the next review. Check your information now.","","","📝 CONFIRM DETAILS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","💼 OPPORTUNITIES READY

Your job options are ready to review. Open the page to continue.","","","💼 SEE OPTIONS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-005/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","🔔 NEW APPLICATION UPDATE

Your application has a new status available. Continue from the secure page.","","","🔔 READ STATUS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-005-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📌 FINAL REVIEW STEP

Your request moved to the final review step. Open the update and finish the process.","","","📌 FINISH REVIEW","https://seuprimeiroempregoam.com/spe-us-job-en-mct-006/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","💼 JOB APPLICATION UPDATE

Your job application has a review step ready. Open the page to continue with the available options.","","","💼 REVIEW JOB","https://seuprimeiroempregoam.com/spe-us-job-en-mct-007/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","📋 APPLICATION STATUS READY

A status check is available for your employment profile. Review the details before moving forward.","","","✅ CHECK STATUS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-008/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","🔎 JOB OPTIONS AVAILABLE

Your job options are ready to compare. Open the update and confirm the next step.","","","📋 SEE OPTIONS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-009/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","✅ REVIEW STEP OPEN

The job recommendation flow has new details available. Check the page to continue.","","","➡️ CONTINUE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-010/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","📌 PROFILE CONFIRMATION

Your profile review is ready for confirmation. Open the job update to see the result.","","","🔎 OPEN REVIEW","https://seuprimeiroempregoam.com/spe-us-job-en-mct-010-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","💬 JOB MATCH UPDATE

A position review step is available now. Review the page and continue from there.","","","📌 VIEW DETAILS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-011/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","📄 APPLICATION DETAILS

Your application moved to the next review point. Open the status page for details.","","","✅ CONFIRM DETAILS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-012/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","🔔 EMPLOYMENT PROFILE UPDATE

The job option summary is ready. Confirm the information on the review page.","","","📄 SEE RESULT","https://seuprimeiroempregoam.com/spe-us-job-en-mct-012-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","💼 JOB OPTION NOTICE

A new employment profile update is available. Check the options and continue safely.","","","💼 VIEW PROFILE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-013/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","📋 STATUS CHECK READY

Your job match has an available result. Open the update to review the details.","","","🔔 OPEN STATUS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-013-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"21","🔎 PROFILE MATCH READY

The application review page is ready. Continue there to confirm your profile information.","","","📋 REVIEW RESULT","https://seuprimeiroempregoam.com/spe-us-job-en-mct-014/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
