template,template_id,pages,message_id,had_first_name,had_dash,before,after
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,672d84b5-7036-807b-893f-5612ce7bd8fe,6,1,True,True,"📦 PACKAGE UPDATE: {{first_name}}, your Credit Card package is sealed and labeled.

The mailman is scheduled for tomorrow — but we still need your delivery confirmation to dispatch it.","📦 PACKAGE UPDATE: your Credit Card package is sealed and labeled.

The mailman is scheduled for tomorrow. But we still need your delivery confirmation to dispatch it."
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,672d84b5-7036-807b-893f-5612ce7bd8fe,6,4,True,True,"⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.","⚡ CARD DISPATCHED. No waiting. Your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today."
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,672d84b5-7036-807b-893f-5612ce7bd8fe,6,6,True,False,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. 

No more waiting. Tap to start.","✅ AUTHORIZED: you are cleared to activate your new card.

No more waiting. Tap to start."
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,672d84b5-7036-807b-893f-5612ce7bd8fe,6,7,False,False,"🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED. 

Tap to see your starting limit and shipping date.","🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED.

Tap to see your starting limit and shipping date."
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,672d84b5-7036-807b-893f-5612ce7bd8fe,6,8,True,False,"✅ REQUEST RECEIVED

{{first_name}}, your Credit Card request was received successfully.
One confirmation step is available before the next review.","✅ REQUEST RECEIVED

your Credit Card request was received successfully.
One confirmation step is available before the next review."
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,672d84b5-7036-807b-893f-5612ce7bd8fe,6,12,True,True,"📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch.

Your package is queued — tap to confirm before the slot is reassigned.","📦 PRIORITY SHIPMENT READY. Based on your history, your 5 star card was moved to priority dispatch.

Your package is queued. Tap to confirm before the slot is reassigned."
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,672d84b5-7036-807b-893f-5612ce7bd8fe,6,13,True,True,"✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.","✈️ INTERNATIONAL CARD. READY TO SHIP. Your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment."
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,672d84b5-7036-807b-893f-5612ce7bd8fe,6,20,True,True,"🏠 HOME DELIVERY READY — {{first_name}}, your Credit Card is packaged and ready for home delivery.

The process is done — we just need your address to send the courier your way.","🏠 HOME DELIVERY READY. Your Credit Card is packaged and ready for home delivery.

The process is done. We just need your address to send the courier your way."
Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,68884c57-b8c6-79cc-b9cd-351def6786a5,51,1,True,False,"🏠 OP​CI​ÓN DE EN​TR​EG​A A DO​MI​CI​LI​O

{{first_name}}, la en​tr​eg​a a do​mi​ci​li​o es​tá di​sp​on​ib​le pa​ra su pa​qu​et​e de Ta​rj​et​a de Cr​éd​it​o.

Co​nf​ir​ma tu di​re​cc​ió​n pa​ra se​gu​ir ad​el​an​te.","🏠 OP​CI​ÓN DE EN​TR​EG​A A DO​MI​CI​LI​O

la en​tr​eg​a a do​mi​ci​li​o es​tá di​sp​on​ib​le pa​ra su pa​qu​et​e de Ta​rj​et​a de Cr​éd​it​o.

Co​nf​ir​ma tu di​re​cc​ió​n pa​ra se​gu​ir ad​el​an​te."
Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,68884c57-b8c6-79cc-b9cd-351def6786a5,51,5,True,False,"🔔 AV​IS​O DE SO​LI​CI​TU​D NU​EV​A

{{first_name}}, un nu​ev​o av​is​o de so​li​ci​tu​d es​tá es​pe​ra​nd​o.
Áb​ra​lo pa​ra re​vi​sa​r la ac​tu​al​iz​ac​ió​n de la ta​rj​et​a de cr​éd​it​o.","🔔 AV​IS​O DE SO​LI​CI​TU​D NU​EV​A

un nu​ev​o av​is​o de so​li​ci​tu​d es​tá es​pe​ra​nd​o.
Áb​ra​lo pa​ra re​vi​sa​r la ac​tu​al​iz​ac​ió​n de la ta​rj​et​a de cr​éd​it​o."
