"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💼 PASO​ DE SOLICITUD​

El estado​ de tu​ postulación necesita​ una revisión​ rápida. Consulta​ la información​ actualizada.","","","💼 CONTINUAR","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001","","","",""
"2","📄 PERFIL​ LABORAL

Se​ actualizó el​ estado de​ tu perfil.​ Abre la​ página para​ revisar las​ opciones disponibles.​","","","📄 CONFIRMAR DATOS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001-2","","","",""
"3","📋 CONTINUAR​ REVISIÓN

Tu​ solicitud tiene​ detalles listos​ para confirmar.​ Continúa para​ ver la​ información actual.​","","","📋 VER DETALLES","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002","","","",""
"4","✅ REVISIÓN​ DISPONIBLE

El​ estado de​ tu postulación​ necesita una​ revisión rápida.​ Consulta la​ información actualizada.​","","","✅ VER ESTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002-2","","","",""
"5","🔎 REVISIÓN​ DISPONIBLE

Hay​ una actualización​ disponible para​ tu solicitud​ de empleo.​ Abre la​ revisión para​ ver el​ próximo paso.​","","","🔎 VER ESTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003","","","",""
"6","📌 ESTADO​ DE POSTULACIÓN​

El estado​ de tu​ postulación necesita​ una revisión​ rápida. Consulta​ la información​ actualizada.","","","📌 ABRIR ACTUALIZACIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003-2","","","",""
"7","🔔 PERFIL LABORAL​

Tu solicitud​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​","","","🔔 CONFIRMAR DATOS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-004","","","",""
"8","➡️ PERFIL COMPATIBLE​

La página​ de revisión​ de solicitud​ está lista.​ Continúa allí​ para confirmar​ la información​ de perfil.​","","","➡️ REVISAR RESULTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-005","","","",""
"9","💼 PERFIL COMPATIBLE​

La página​ de revisión​ de solicitud​ está lista.​ Continúa allí​ para confirmar​ la información​ de perfil.​","","","💼 REVISAR RESULTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-005-2","","","",""
"10","📄 REVISIÓN​ DE PERFIL​

Tu solicitud​ de empleo​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","📄 SEGUIR REVISIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-006","","","",""
"11","📋 PERFIL COMPATIBLE​

La página​ de revisión​ de solicitud​ está lista.​ Continúa allí​ para confirmar​ la información​ de perfil.​","","","📋 REVISAR RESULTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-007","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"12","✅ ACTUALIZACIÓN​ DE VACANTE​

Tu solicitud​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​","","","✅ ABRIR ACTUALIZACIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-008","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"13","🔎 PERFIL​ LABORAL

Tu​ solicitud de​ empleo tiene​ una revisión​ lista. Abre​ la página​ para continuar​ con las​ opciones disponibles.​","","","🔎 REVISAR RESULTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-009","☝️☝️☝️","DbTHusEC3yJnMuS","",""
