"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","💳 ACTUALIZACIÓN DE​ TARJETA

Tu​ solicitud de​ tarjeta tiene​ una revisión​ lista. Abre​ la página​ para continuar​ con las​ opciones disponibles.​","","","💳 REVISAR TARJETA","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"2","📋 ESTADO DE​ SOLICITUD

Hay​ una verificación​ disponible para​ tu perfil​ de tarjeta.​ Revisa los​ detalles antes​ de avanzar.​","","","📋 VER ESTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"3","✅ PERFIL​ ACTUALIZADO

El​ estado de​ tu tarjeta​ está listo​ para revisar.​ Confirma los​ datos en​ la siguiente​ pantalla y​ continúa.","","","✅ VER RESULTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"4","🔎 ESTADO​ DE SOLICITUD​

Tu solicitud​ de tarjeta​ tiene una​ nueva revisión​ disponible. Abre​ la actualización​ para continuar​ con las​ opciones.","","","🔎 VER ESTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"5","📌 PASO DE​ CONFIRMACIÓN

La​ revisión de​ tu perfil​ está lista​ para confirmación.​ Abre la​ actualización de​ tarjeta para​ ver el​ resultado.","","","📌 VER ACTUALIZACIÓN","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"6","🔔 PASO​ DE CONFIRMACIÓN​

El flujo​ de recomendación​ de tarjeta​ tiene un​ resultado listo.​ Revisa los​ detalles antes​ de continuar.​","","","🔔 VER ACTUALIZACIÓN","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"7","📄 REVISIÓN ABIERTA​

Tu solicitud​ de tarjeta​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​","","","📄 CONFIRMAR DATOS","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"8","💬 PERFIL​ ACTUALIZADO

Tu​ perfil tiene​ opciones de​ tarjeta disponibles.​ Abre la​ revisión para​ ver el​ próximo paso.​","","","💬 VER RESULTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"9","💳 AVISO DE​ TARJETA

Hay​ una nueva​ actualización de​ perfil de​ tarjeta disponible.​ Revisa las​ opciones y​ continúa.","","","💳 VER OPCIONES DE TARJETA","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"10","📋 ESTADO LISTO​

Tu compatibilidad​ de tarjeta​ tiene un​ resultado disponible.​ Abre la​ actualización para​ revisar los​ detalles.","","","📋 ABRIR ESTADO","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"11","✅ PERFIL COMPATIBLE​

La página​ de revisión​ de solicitud​ está lista.​ Continúa allí​ para confirmar​ la información​ de tarjeta.​","","","✅ REVISAR PERFIL","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
"12","🔎 CONSULTA ABIERTA​

Hay una​ actualización de​ estado de​ tarjeta esperando.​ Abre la​ página y​ revisa el​ camino disponible.​","","","🔎 VER COMPATIBILIDAD","https://tarjeta.wantabrand.com/y8p2xGQM/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=wantabrand-us-cc-es-bd&utm_content=[utm_content]","","","",""
