"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📋 PASO​ DE SOLICITUD​

El estado​ de tu​ postulación necesita​ una revisión​ rápida. Consulta​ la información​ actualizada.","","","📋 CONTINUAR","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📌 CONTINUAR​ REVISIÓN

El​ estado de​ tu postulación​ necesita una​ revisión rápida.​ Consulta la​ información actualizada.​","","","📌 VER DETALLES","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","➡️ ESTADO​ DE POSTULACIÓN​

El estado​ de tu​ postulación necesita​ una revisión​ rápida. Consulta​ la información​ actualizada.","","","➡️ ABRIR ACTUALIZACIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✅ REVISIÓN​ DISPONIBLE

El​ estado de​ tu postulación​ necesita una​ revisión rápida.​ Consulta la​ información actualizada.​","","","✅ VER ESTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","🔔 CONTINUAR​ REVISIÓN

Tu​ solicitud tiene​ detalles listos​ para confirmar.​ Continúa para​ ver la​ información actual.​","","","🔔 VER DETALLES","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","🔔 PERFIL​ LABORAL

Se​ actualizó el​ estado de​ tu perfil.​ Abre la​ página para​ revisar las​ opciones disponibles.​","","","🔔 CONFIRMAR DATOS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","🔔 PERFIL LABORAL​

Tu solicitud​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​","","","🔔 CONFIRMAR DATOS","https://seuprimeiroempregoam.com/spe-us-job-en-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🔎 SOLICITUD​ EN REVISIÓN​

Tu solicitud​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​","","","🔎 ABRIR ACTUALIZACIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-005/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","➡️ REVISIÓN​ DE PERFIL​

Tu solicitud​ de empleo​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","➡️ SEGUIR REVISIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-005-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📄 REVISIÓN​ DE PERFIL​

Tu solicitud​ de empleo​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","📄 SEGUIR REVISIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-006/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","📄 PERFIL​ LABORAL

Tu​ solicitud de​ empleo tiene​ una revisión​ lista. Abre​ la página​ para continuar​ con las​ opciones disponibles.​","","","📄 REVISAR RESULTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-007/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"12","💼 ACTUALIZACIÓN​ DE VACANTE​

Tu solicitud​ pasó al​ siguiente punto​ de revisión.​ Abre la​ página de​ estado para​ ver detalles.​","","","💼 ABRIR ACTUALIZACIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-008/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"13","💼 ACTUALIZACIÓN​ DE VACANTE​

Tu solicitud​ de empleo​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","🔍 VER OFERTA","https://seuprimeiroempregoam.com/spe-us-job-en-mct-009/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"14","📋 REVISIÓN​ DISPONIBLE

Hay​ una verificación​ disponible para​ tu perfil​ laboral. Revisa​ los detalles​ antes de​ avanzar.","","","✅ VER ESTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-010/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"15","🔎 OPCIONES​ DE TRABAJO​

Tus opciones​ de trabajo​ están listas​ para comparar.​ Abre la​ actualización y​ confirma el​ siguiente paso.​","","","📋 VER OPCIONES","https://seuprimeiroempregoam.com/spe-us-job-en-mct-010-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"16","✅ PASO​ DE SOLICITUD​

El flujo​ de recomendación​ laboral tiene​ nuevos detalles​ disponibles. Consulta​ la página​ para continuar.​","","","➡️ CONTINUAR","https://seuprimeiroempregoam.com/spe-us-job-en-mct-011/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"17","📌 ESTADO​ DE POSTULACIÓN​

La revisión​ de tu​ perfil está​ lista para​ confirmación. Abre​ la actualización​ laboral para​ ver el​ resultado.","","","📌 ABRIR ACTUALIZACIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-012/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"18","💬 DETALLES​ ABIERTOS

Hay​ un paso​ de selección​ de vacante​ disponible ahora.​ Revisa la​ página y​ continúa desde​ ahí.","","","🔎 REVISAR VACANTE","https://seuprimeiroempregoam.com/spe-us-job-en-mct-012-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"19","🔔 CONTINUAR​ REVISIÓN

El​ resumen de​ opciones laborales​ está listo.​ Confirma la​ información en​ la página​ de revisión.​","","","📄 VER DETALLES","https://seuprimeiroempregoam.com/spe-us-job-en-mct-013/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"20","💼 AVISO​ DE EMPLEO​

Hay una​ nueva actualización​ de perfil​ laboral disponible.​ Revisa las​ opciones y​ continúa.","","","💼 VER PERFIL","https://seuprimeiroempregoam.com/spe-us-job-en-mct-013-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","☝️☝️☝️","DbTHusEC3yJnMuS","",""
"21","📋 ESTADO​ LISTO

Tu​ compatibilidad con​ la vacante​ tiene un​ resultado disponible.​ Abre la​ actualización para​ revisar los​ detalles.","","","🔔 ABRIR ESTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-014/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"22","🔎 PERFIL​ COMPATIBLE

La​ página de​ revisión de​ solicitud está​ lista. Continúa​ allí para​ confirmar la​ información de​ perfil.","","","📋 REVISAR RESULTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-015/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"23","✅ VACANTE​ ABIERTA

Hay​ una actualización​ de estado​ laboral esperando.​ Abre la​ página y​ revisa el​ camino disponible.​","","","➡️ SEGUIR REVISIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-015-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"24","📌 SOLICITUD​ EN REVISIÓN​

Tu solicitud​ de empleo​ tiene una​ revisión lista.​ Abre la​ página para​ continuar con​ las opciones​ disponibles.","","","🔍 VER OFERTA","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"25","💬 DETALLES​ DISPONIBLES

Hay​ una verificación​ disponible para​ tu perfil​ laboral. Revisa​ los detalles​ antes de​ avanzar.","","","✅ VER ESTADO","https://seuprimeiroempregoam.com/spe-us-job-en-mct-001-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"26","📄 OPCIONES​ ABIERTAS

Tus​ opciones de​ trabajo están​ listas para​ comparar. Abre​ la actualización​ y confirma​ el siguiente​ paso.","","","📋 VER OPCIONES","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"27","🔔 REVISIÓN​ DE PERFIL​

El flujo​ de recomendación​ laboral tiene​ nuevos detalles​ disponibles. Consulta​ la página​ para continuar.​","","","➡️ CONTINUAR","https://seuprimeiroempregoam.com/spe-us-job-en-mct-002-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"28","💼 PUESTO​ DISPONIBLE

La​ revisión de​ tu perfil​ está lista​ para confirmación.​ Abre la​ actualización laboral​ para ver​ el resultado.​","","","📌 ABRIR ACTUALIZACIÓN","https://seuprimeiroempregoam.com/spe-us-job-en-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
