MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2
1,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. 

No more waiting. Tap to start.",,,🚀 ACTIVATE NOW,https://memivi-usa.com/us-en-bd1-1,,,
2,"I have 1 important update regarding your credit profile. 

It’s better than we expected. Check it here:",,,📩 OPEN UPDATE,https://memivi-usa.com/us-en-bd2-1,,,
3,"📦 Status: HELD
Your pre-approved card is waiting. 
We just need your delivery address confirmation.",,,🚚 CONFIRM ADDRESS,https://memivi-usa.com/us-en-bd3-1,,,
4,"✅ DELIVERY CONFIRMED
Your card with $15,000 limit is being prepared for dispatch
Verify your details to ship.",,,🚚 SHIP MY CARD,https://memivi-usa.com/us-en-bd4-1,,,
5,"🏆 {{first_name}}, your Platinum Card was reserved for the 2% priority group.

The package is sealed. We just need your address confirmation before the courier picks it up.",,,🚚 CONFIRM & SHIP,https://memivi-usa.com/us-en-bd5-1,,,
6,"🚚 ON ITS WAY! Congratulations! 
Your credit card is moving to the next stage. 
Follow to finalize:",,,🟢 TRACK/FINALIZE,https://memivi-usa.com/us-en-bd6-1,,,
7,"💳 CREDIT CARD APPROVED

Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. 

We just need you to confirm the delivery address.",,,🚚 CONFIRM NOW,https://memivi-usa.com/us-en-bd7-1,,,
8,"🔓 CARD UNLOCKED

Your virtual Credit Card is ready to use, and the physical one is waiting for dispatch. 

Tap to finalize the process.",,,💳 UNLOCK CARD,https://memivi-usa.com/us-en-bd8-1,,,
9,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name.

It's at the sorting center. Claim the delivery before it gets returned.",,,🚚 CLAIM DELIVERY,https://memivi-usa.com/us-en-bd9-1,,,
10,"📍 READY FOR DISPATCH

{{first_name}}, your request for a new Credit Card was successful. 

Tap below to choose your favorite card design.",,,✅ CHOOSE CARD,https://memivi-usa.com/us-en-bd10-1,,,
11,"⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.",,,🚚 ASSIGN COURIER,https://memivi-usa.com/us-en-bd1-1,,,
12,"📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch.

Your package is queued — tap to confirm before the slot is reassigned.",,,🚚 CLAIM SHIPMENT,https://memivi-usa.com/us-en-bd2-1,,,
13,"💳 VIRTUAL CARD READY

Your digital Credit Card is active! 

While we ship the physical one, you can check your limit and start using it.",,,📱 OPEN CARD,https://memivi-usa.com/us-en-bd3-1,,,
14,"📨 CARD CONFIRMATION

{{first_name}}, we sent a confirmation for your Credit Card request. 

Didn't see it? Tap below to finish it now.",,,🟢 FINISH NOW,https://memivi-usa.com/us-en-bd4-1,,,
15,"✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.",,,🌍 RELEASE SHIPMENT,https://memivi-usa.com/us-en-bd5-1,,,
16,"🚚 COURIER ASSIGNED

A courier is waiting for the green light to deliver your Credit Card. 

Is your address still the same? Confirm here:",,,✅ CONFIRM,https://memivi-usa.com/us-en-bd6-1,,,
17,"📦 PACKAGE FOR YOU: {{first_name}}

Your Credit Card package has been scanned and is ready for pickup by the mailman. 

Tap to release the shipment.",,,🚚 RELEASE,https://memivi-usa.com/us-en-bd7-1,,,
18,"📍 STATUS UPDATE: Your card is at the local post office.

It's been held for 24h waiting for pickup confirmation. Tap to release it before it's sent back.",,,🟢 RELEASE CARD,https://memivi-usa.com/us-en-bd8-1,,,
19,"📦 PACKAGE UPDATE: {{first_name}}, your Credit Card package is sealed and labeled.

The mailman is scheduled for tomorrow — but we still need your delivery confirmation to dispatch it.",,,🚚 CONFIRM DELIVERY,https://memivi-usa.com/us-en-bd9-1,,,
20,"🏠 HOME DELIVERY READY — {{first_name}}, your Credit Card is packaged and ready for home delivery.

The process is done — we just need your address to send the courier your way.",,,📦 SEND TO MY HOME,https://memivi-usa.com/us-en-bd10-1,,,
21,"🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED. 

Tap to see your starting limit and shipping date.",,,📥 READ STATUS,https://memivi-usa.com/us-en-bd1-1,,,
22,"🔔 (1) CARD STATUS CHANGED — {{first_name}}, your account was upgraded and the Platinum Card is now ready for shipment.

We need your zip code to release the courier.",,,📦 SEND MY CARD,https://memivi-usa.com/us-en-bd2-1,,,
23,"📬 YOUR CARD IS IN TRANSIT — {{first_name}}, the cashback card assigned to your profile is already moving.

Tap to confirm the delivery address and avoid return to sender.",,,✅ CONFIRM ADDRESS,https://memivi-usa.com/us-en-bd3-1,,,
24,"🏦 OFFICIAL RELEASE

RE: Your Credit Card. The bank has officially released your funds. 

Tap to choose your card and start.",,,✅ FINALIZE,https://memivi-usa.com/us-en-bd4-1,,,
25,"📦 {{first_name}}, your card package was flagged as undelivered.

We need you to re-confirm your address before we reassign your slot to the next person on the list.",,,✅ CONFIRM ADDRESS,https://memivi-usa.com/us-en-bd5-1,,,
26,"🔔 (1) DELIVERY ALERT — {{first_name}}, your card shipment is on hold.

The courier attempted delivery but couldn't complete it. Tap to reschedule before the package is returned.",,,🚚 RESCHEDULE NOW,https://memivi-usa.com/us-en-bd6-1,,,
27,"🔔 (1) CARD UPDATE

{{first_name}}, your Credit Card request has a new status available.

Tap below to review the next step.",,,📥 READ UPDATE,https://memivi-usa.com/us-en-bd7-1,,,
28,"📦 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.",,,✅ CONFIRM DETAILS,https://memivi-usa.com/us-en-bd8-1,,,
29,"📍 STATUS CONFIRMED

Your Credit Card request moved to the final review step.

Open the update and finish the process.",,,🟢 FINISH PROCESS,https://memivi-usa.com/us-en-bd9-1,,,
30,"🚚 DELIVERY STEP OPEN

{{first_name}}, the delivery step for your Credit Card is now available.

Tap to confirm where it should be sent.",,,🚚 CONFIRM DELIVERY,https://memivi-usa.com/us-en-bd10-1,,,
31,"💳 CARD OPTIONS READY

Your Credit Card options are ready to review.

Choose the option you prefer and continue.",,,💳 SEE OPTIONS,https://memivi-usa.com/us-en-bd1-1,,,
32,"📨 CARD CONFIRMATION

We received your Credit Card request and prepared the next step.

Tap below to complete it.",,,🟢 COMPLETE NOW,https://memivi-usa.com/us-en-bd2-1,,,
33,"📦 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.",,,📦 REVIEW INFO,https://memivi-usa.com/us-en-bd3-1,,,
34,"🔓 CARD ACCESS READY

Your digital card access is ready for review.

Finish the step below to continue.",,,🔓 OPEN ACCESS,https://memivi-usa.com/us-en-bd4-1,,,
35,"🏠 HOME DELIVERY OPTION

{{first_name}}, home delivery is available for your Credit Card package.

Confirm your address to move forward.",,,🏠 CONFIRM HOME,https://memivi-usa.com/us-en-bd5-1,,,
36,"🔔 CREDIT CARD STATUS

Your status has changed and the next step is available.

Open the update to review your card details.",,,📥 OPEN STATUS,https://memivi-usa.com/us-en-bd6-1,,,
37,"✅ FINAL STEP AVAILABLE

Your Credit Card request is almost complete.

Tap below to check the details and finish.",,,✅ FINALIZE,https://memivi-usa.com/us-en-bd7-1,,,
38,"📬 DELIVERY NOTICE

Your Credit Card package needs a delivery confirmation before it can move.

Confirm your details here.",,,📬 CONFIRM NOW,https://memivi-usa.com/us-en-bd8-1,,,
39,"💳 CARD REVIEW READY

{{first_name}}, your Credit Card review is ready.

See the card details and continue to the next step.",,,💳 REVIEW CARD,https://memivi-usa.com/us-en-bd9-1,,,
40,"📍 ADDRESS CHECK

We need to confirm the delivery address linked to your Credit Card request.

Tap below to verify it.",,,📍 VERIFY ADDRESS,https://memivi-usa.com/us-en-bd10-1,,,
41,"🚚 COURIER STEP READY

The courier step for your Credit Card package is available.

Confirm the delivery information to continue.",,,🚚 START DELIVERY,https://memivi-usa.com/us-en-bd1-1,,,
42,"🔔 (1) NEW UPDATE

Your Credit Card request has one new update waiting.

Open it now and follow the final instructions.",,,📩 OPEN UPDATE,https://memivi-usa.com/us-en-bd2-1,,,
43,"📦 PACKAGE CONFIRMATION

Your Credit Card package is marked ready for the next step.

Confirm your delivery details below.",,,✅ CONFIRM PACKAGE,https://memivi-usa.com/us-en-bd3-1,,,
44,"💳 CARD READY TO REVIEW

Your Credit Card details are ready in the system.

Tap below to review and continue.",,,💳 OPEN CARD,https://memivi-usa.com/us-en-bd4-1,,,
45,"📨 REQUEST RECEIVED

{{first_name}}, your Credit Card request was received successfully.

Finish the confirmation step here.",,,🟢 FINISH NOW,https://memivi-usa.com/us-en-bd5-1,,,
46,"🏁 FINAL CARD STEP

You are at the final step for your Credit Card request.

Review your details and continue.",,,🏁 CONTINUE,https://memivi-usa.com/us-en-bd6-1,,,
47,"📍 DELIVERY CONFIRMATION

Your Credit Card delivery information needs to be confirmed.

Tap below to keep the process moving.",,,📍 CONFIRM,https://memivi-usa.com/us-en-bd7-1,,,
48,"🔓 CARD PROCESS OPEN

The next step for your Credit Card is open.

Review your information and complete the process.",,,🔓 CONTINUE,https://memivi-usa.com/us-en-bd8-1,,,
49,"📦 READY FOR DISPATCH

{{first_name}}, your Credit Card package is ready for dispatch.

Confirm the details so it can move forward.",,,🚚 DISPATCH CARD,https://memivi-usa.com/us-en-bd9-1,,,
50,"🔔 CARD STATUS CHANGED

Your Credit Card request has a new status.

Tap to read the update and see what to do next.",,,📥 READ STATUS,https://memivi-usa.com/us-en-bd10-1,,,
51,"🏠 DELIVERY READY

Your Credit Card can be sent to your home once your details are confirmed.

Tap below to confirm.",,,🏠 SEND TO HOME,https://memivi-usa.com/us-en-bd1-1,,,
52,"💳 CARD SELECTION READY

Your Credit Card selection step is ready.

Choose your card option and continue.",,,💳 CHOOSE CARD,https://memivi-usa.com/us-en-bd2-1,,,
53,"📬 PACKAGE UPDATE

Your Credit Card package is waiting for confirmation before delivery.

Open the link to continue.",,,📬 OPEN UPDATE,https://memivi-usa.com/us-en-bd3-1,,,
54,"✅ CONFIRMATION NEEDED

Your Credit Card request is waiting for one confirmation.

Tap below to complete the step.",,,✅ CONFIRM NOW,https://memivi-usa.com/us-en-bd4-1,,,
55,"🚚 DELIVERY ALERT

Your Credit Card delivery step is on hold until your information is confirmed.

Confirm it here.",,,🚚 RELEASE DELIVERY,https://memivi-usa.com/us-en-bd5-1,,,
56,"📨 FINAL NOTICE

Your Credit Card request has a final confirmation available.

Tap below to finish the process.",,,🟢 COMPLETE STEP,https://memivi-usa.com/us-en-bd6-1,,,
57,"🔔 CARD STATUS UPDATE

{{first_name}}, your Credit Card request has a new update available.

Open the update to review the details and continue.",,,OPEN UPDATE,https://memivi-usa.com/us-en-bd1-1,,,
58,"✅ CONFIRMATION NEEDED

Your Credit Card request is waiting for one confirmation step.

Confirm the details here to keep the request active.",,,REVIEW DETAILS,https://memivi-usa.com/us-en-bd2-1,,,
59,"💳 CARD REVIEW READY

{{first_name}}, your card details are ready for review.

Tap below to check the information and move forward.",,,VIEW CARD,https://memivi-usa.com/us-en-bd3-1,,,
60,"📩 REQUEST UPDATE

A new update is available for your Credit Card request.

Open the update to see the next step.",,,READ STATUS,https://memivi-usa.com/us-en-bd4-1,,,
61,"📍 INFORMATION CHECK

Your card request needs a quick information check.

Check the details and confirm if everything is correct.",,,CONTINUE,https://memivi-usa.com/us-en-bd5-1,,,
62,"📦 DELIVERY STEP READY

The delivery step for your Credit Card package is available.

Confirm where the card should be sent to continue.",,,CONFIRM DETAILS,https://memivi-usa.com/us-en-bd6-1,,,
63,"🔓 CARD ACCESS READY

Your card access step is open for review.

Open the access page and complete the available step.",,,OPEN ACCESS,https://memivi-usa.com/us-en-bd7-1,,,
64,"📬 NOTICE AVAILABLE

{{first_name}}, a card request notice is available in your profile.

Read the notice and follow the next instruction.",,,VERIFY INFO,https://memivi-usa.com/us-en-bd8-1,,,
