"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","⚠️ Önemli güncelleme, {{first_name}}

Son başvurularınla ilgili yeni bilgiler var ve bu durum kredi kartı onayını doğrudan etkileyebilir.
Sonraki adımları incele.

👇 Hazır olduğunda aşağıdan sonraki adımı seç:","","","🔍 KART YANITIMI GÖR","https://fincgriffin.com/fincg-tr-cc-tr-mct-001/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📬 TESLİM ALINMAMIŞ PAKET — {{first_name}}, adına 14.200 TL limitli bir Kredi Kartı paketi bekliyor.

Sıralama merkezinde. İade edilmeden önce teslimatı onayla.","","","🚚 TESLİMATI AL","https://fincgriffin.com/fincg-tr-cc-tr-mct-002/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","💳 KREDİ KARTI ONAYLANDI

Tebrikler, {{first_name}}! Yeni Kredi Kartın gönderime hazır.

Sadece teslimat adresini doğrulamamız gerekiyor.","","","🚚 ŞİMDİ ONAYLA","https://fincgriffin.com/fincg-tr-cc-tr-mct-003/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✅ TESLİMAT ONAYLANDI
15.000 TL limitli kartın gönderim için hazırlanıyor.
Gönderim için bilgilerini doğrula.","","","🚚 KARTIMI GÖNDER","https://fincgriffin.com/fincg-tr-cc-tr-mct-004/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","⚡ KART GÖNDERİLDİ — Bekleme yok. {{first_name}}, Kredi Kartın anında onaylandı ve teslimat sistemine alındı.

Kuryeyi atamak ve bugün almak için dokun.","","","🚚 KURYE ATA","https://fincgriffin.com/fincg-tr-cc-tr-mct-005/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","📦 GÖNDERİM GÜNCELLEMESİ

Kredi Kartı paketin gönderimden önce son bir onay bekliyor.

Bilgilerini burada incele.","","","📦 BİLGİLERİ İNCELE","https://fincgriffin.com/fincg-tr-cc-tr-mct-006/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","✅ YETKİ VERİLDİ: {{first_name}}, yeni kartını etkinleştirebilirsin.

Daha fazla bekleme. Başlamak için dokun.","","","🚀 ŞİMDİ ETKİNLEŞTİR","https://fincgriffin.com/fincg-tr-cc-tr-mct-007/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🔔 (1) YENİ KART GÜNCELLEMESİ

Kredi Kartı durumun şu şekilde değişti: ONAYLANDI.

Başlangıç limitini ve gönderim tarihini görmek için dokun.","","","📥 DURUMU OKU","https://fincgriffin.com/fincg-tr-cc-tr-mct-008/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ BAŞVURU ALINDI

{{first_name}}, Kredi Kartı başvurun başarıyla alındı.
Sonraki incelemeden önce bir onay adımı mevcut.","","","✅ ŞİMDİ ONAYLA","https://fincgriffin.com/fincg-tr-cc-tr-mct-009/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📍 DURUM ONAYLANDI

Kredi Kartı başvurun son inceleme adımına geçti.

Güncellemeyi aç ve işlemi tamamla.","","","🟢 İŞLEMİ TAMAMLA","https://fincgriffin.com/fincg-tr-cc-tr-mct-010/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","💳 KART BAŞVURUSU GÜNCELLEMESİ

Kart başvurunuz için bir inceleme adımı hazır. Mevcut seçeneklerle devam etmek için sayfayı açın.","","","💳 KARTI İNCELE","https://fincgriffin.com/fincg-tr-cc-tr-mct-011/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","📋 BAŞVURU DURUMU HAZIR

Kart profiliniz için bir durum kontrolü mevcut. Devam etmeden önce detayları inceleyin.","","","✅ DURUMU KONTROL ET","https://fincgriffin.com/fincg-tr-cc-tr-mct-012/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","🔎 KART SEÇENEKLERİ HAZIR

Kart seçenekleriniz karşılaştırmaya hazır. Güncellemeyi açın ve sonraki adımı onaylayın.","","","📋 SEÇENEKLERİ GÖR","https://fincgriffin.com/fincg-tr-cc-tr-mct-013/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","✅ İNCELEME ADIMI AÇIK

Kart öneri sürecinde yeni detaylar mevcut. Devam etmek için sayfayı kontrol edin.","","","➡️ DEVAM ET","https://fincgriffin.com/fincg-tr-cc-tr-mct-014/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","📌 PROFİL ONAYI HAZIR

Profil incelemeniz onaya hazır. Sonucu görmek için kart güncellemesini açın.","","","🔎 İNCELEMEYİ AÇ","https://fincgriffin.com/fincg-tr-cc-tr-mct-015/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","💬 KART EŞLEŞME GÜNCELLEMESİ

Şimdi bir kart seçim adımı mevcut. Sayfayı inceleyin ve buradan devam edin.","","","📌 DETAYLARI GÖR","https://fincgriffin.com/fincg-tr-cc-tr-mct-016/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","📄 BAŞVURU DETAYLARI

Kart başvurunuz bir sonraki inceleme noktasına geçti. Detaylar için durum sayfasını açın.","","","✅ BİLGİLERİ ONAYLA","https://fincgriffin.com/fincg-tr-cc-tr-mct-017/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","🔔 KART PROFİLİ GÜNCELLEMESİ

Kart seçeneklerinin özeti hazır. İnceleme sayfasındaki bilgileri onaylayın.","","","📄 SONUCU GÖR","https://fincgriffin.com/fincg-tr-cc-tr-mct-018/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","💳 KART SEÇENEĞİ BİLDİRİMİ

Kart profiliniz için yeni bir güncelleme mevcut. Seçenekleri kontrol edin ve güvenle devam edin.","","","💳 KART SEÇENEKLERİ","https://fincgriffin.com/fincg-tr-cc-tr-mct-019/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","📋 DURUM KONTROLÜ HAZIR

Kart eşleşmeniz için bir sonuç mevcut. Detayları incelemek için güncellemeyi açın.","","","🔔 DURUMU AÇ","https://fincgriffin.com/fincg-tr-cc-tr-mct-020/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"21","🔎 PROFİL EŞLEŞMESİ HAZIR

Başvuru inceleme sayfası hazır. Kart bilgilerinizi onaylamak için buradan devam edin.","","","📋 PROFİLİ İNCELE","https://fincgriffin.com/fincg-tr-cc-tr-mct-021/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"22","✅ KART İNCELEMESİ AÇIK

Bir kart durumu güncellemesi bekliyor. Sayfayı açın ve mevcut adımı kontrol edin.","","","➡️ SONRAKİ ADIM","https://fincgriffin.com/fincg-tr-cc-tr-mct-022/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"23","📌 BAŞVURU İNCELEMESİ

Kart başvurunuz için bir inceleme adımı hazır. Mevcut seçeneklerle devam etmek için sayfayı açın.","","","💳 KARTI İNCELE","https://fincgriffin.com/fincg-tr-cc-tr-mct-023/?utm_source=mct&utm_medium=g003-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
