"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📬 DELIVERY NOTICE

Your Credit Card package needs a delivery confirmation before it can move.

Confirm your details here.","","","📬 CONFIRM NOW","https://vizioid.com/vz-us-cc-en-mct-001/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📍 STATUS CHECKPOINT

Your Credit Card request reached a new checkpoint.
Review the status and confirm the next step below.","","","📍 CHECK STATUS","https://vizioid.com/vz-us-cc-en-mct-001-2/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch.

Your package is queued — tap to confirm before the slot is reassigned.","","","🚚 CLAIM SHIPMENT","https://vizioid.com/vz-us-cc-en-mct-002/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.","","","🌍 RELEASE SHIPMENT","https://vizioid.com/vz-us-cc-en-mct-002-2/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","📦 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","✅ CONFIRM DETAILS","https://vizioid.com/vz-us-cc-en-mct-003/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","🚚 COURIER STEP READY

The courier step for your Credit Card package is available.

Confirm the delivery information to continue.","","","🚚 START DELIVERY","https://vizioid.com/vz-us-cc-en-mct-003-2/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","💳 CARD REVIEW READY

Your Credit Card review is available now.
Check the details prepared for your profile and continue from the secure page.","","","💳 REVIEW CARD","https://vizioid.com/vz-us-cc-en-mct-004/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","📝 CARD REQUEST REVIEW

Your Credit Card request review is ready.
Check the details and confirm the next step.","","","📝 REVIEW NOW","https://vizioid.com/vz-us-cc-en-mct-005/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ REQUEST CONFIRMATION

Your request confirmation is ready.
Review the Credit Card details and complete it now.","","","✅ COMPLETE NOW","https://vizioid.com/vz-us-cc-en-mct-005-2/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📋 REQUEST READY TO REVIEW

Your Credit Card request is ready to review.
Check the information and complete the available step.","","","📋 REVIEW NOW","https://vizioid.com/vz-us-cc-en-mct-006/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","🔎 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","🔎 CONFIRM DETAILS","https://vizioid.com/vz-us-cc-en-mct-007/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","🔔 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","🔔 CONFIRM DETAILS","https://vizioid.com/vz-us-cc-en-mct-008/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","📋 REVIEW STEP OPEN

Your credit profile has card options available to review. Open the update and check the next step.","","","📋 CONFIRM DETAILS","https://vizioid.com/vz-us-cc-en-mct-009/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","✅ REVIEW STEP OPEN

Your credit profile has card options available to review. Open the update and check the next step.","","","✅ CONFIRM DETAILS","https://vizioid.com/vz-us-cc-en-mct-010/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"15","🔎 REVIEW STEP OPEN 

A new update for your request is available. Open the information and review the latest details.","","","🔎 CONFIRM DETAILS","https://vizioid.com/vz-us-cc-en-mct-010-2/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"16","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","🔍 REVIEW CARD","https://vizioid.com/vz-us-cc-en-mct-011/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"17","📋 CARD REQUEST STATUS

A status check is available for your card profile. Review the details before moving forward.","","","✅ CHECK STATUS","https://vizioid.com/vz-us-cc-en-mct-012/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"18","🔎 CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","📋 SEE OPTIONS","https://vizioid.com/vz-us-cc-en-mct-012-2/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"19","✅ CARD REVIEW AVAILABLE

The card recommendation flow has new details available. Check the page to continue.","","","➡️ CONTINUE","https://vizioid.com/vz-us-cc-en-mct-013/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"20","📌 APPLICATION STEP READY

Your profile review is ready for confirmation. Open the card update to see the result.","","","💳 REVIEW UPDATE","https://vizioid.com/vz-us-cc-en-mct-013-2/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"21","💬 CARD MATCH UPDATE

A card selection step is available now. Review the page and continue from there.","","","🔎 OPEN REVIEW","https://vizioid.com/vz-us-cc-en-mct-014/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"22","📄 REVIEW STEP OPEN

Your card request moved to the next review point. Open the status page for details.","","","✅ CONFIRM DETAILS","https://vizioid.com/vz-us-cc-en-mct-015/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"23","🔔 CARD PROFILE UPDATE

The card option summary is ready. Confirm the information on the review page.","","","📌 VIEW RESULT","https://vizioid.com/vz-us-cc-en-mct-015-2/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
