"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","⚠️ Important update, {{first_name}}

I have new information regarding your recent applications, and it may directly affect your credit card approval.
Take a moment to review the next steps.

👇 When you're ready, choose your next step below:","","","🔍 SEE RESPONSE OF MY CARD","https://infinitynexx.com/in-us-cc-en-mct-001/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name.

It's at the sorting center. Claim the delivery before it gets returned.","","","🚚 CLAIM DELIVERY","https://infinitynexx.com/in-us-cc-en-mct-001-2/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","💳 CREDIT CARD APPROVED

Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. 

We just need you to confirm the delivery address.","","","🚚 CONFIRM NOW","https://infinitynexx.com/in-us-cc-en-mct-002/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✅ DELIVERY CONFIRMED
Your card with $15,000 limit is being prepared for dispatch
Verify your details to ship.","","","🚚 SHIP MY CARD","https://infinitynexx.com/in-us-cc-en-mct-002-2/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.","","","🚚 ASSIGN COURIER","https://infinitynexx.com/in-us-cc-en-mct-003/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","📦 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.","","","📦 REVIEW INFO","https://infinitynexx.com/in-us-cc-en-mct-003-2/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. 

No more waiting. Tap to start.","","","🚀 ACTIVATE NOW","https://infinitynexx.com/in-us-cc-en-mct-004/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED. 

Tap to see your starting limit and shipping date.","","","📥 READ STATUS","https://infinitynexx.com/in-us-cc-en-mct-005/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ REQUEST RECEIVED

{{first_name}}, your Credit Card request was received successfully.
One confirmation step is available before the next review.","","","✅ CONFIRM NOW","https://infinitynexx.com/in-us-cc-en-mct-005-2/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📍 STATUS CONFIRMED

Your Credit Card request moved to the final review step.

Open the update and finish the process.","","","🟢 FINISH PROCESS","https://infinitynexx.com/in-us-cc-en-mct-006/?utm_source=mct&utm_medium=g004-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
