"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","📬 DELIVERY NOTICE

Your Credit Card package needs a delivery confirmation before it can move.

Confirm your details here.","","","📬 CONFIRM NOW","https://cliquet.com/cq-gb-cc-en-mct-001/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"2","📍 STATUS CHECKPOINT

Your Credit Card request reached a new checkpoint.
Review the status and confirm the next step below.","","","📍 CHECK STATUS","https://cliquet.com/cq-gb-cc-en-mct-002/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"3","📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch.

Your package is queued — tap to confirm before the slot is reassigned.","","","🚚 CLAIM SHIPMENT","https://cliquet.com/cq-gb-cc-en-mct-003/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"4","✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.","","","🌍 RELEASE SHIPMENT","https://cliquet.com/cq-gb-cc-en-mct-004/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"5","📦 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","✅ CONFIRM DETAILS","https://cliquet.com/cq-gb-cc-en-mct-005/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"6","🚚 COURIER STEP READY

The courier step for your Credit Card package is available.

Confirm the delivery information to continue.","","","🚚 START DELIVERY","https://cliquet.com/cq-gb-cc-en-mct-006/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"7","💳 CARD REVIEW READY

Your Credit Card review is available now.
Check the details prepared for your profile and continue from the secure page.","","","💳 REVIEW CARD","https://cliquet.com/cq-gb-cc-en-mct-007/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"8","📝 CARD REQUEST REVIEW

Your Credit Card request review is ready.
Check the details and confirm the next step.","","","📝 REVIEW NOW","https://cliquet.com/cq-gb-cc-en-mct-008/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"9","✅ REQUEST CONFIRMATION

Your request confirmation is ready.
Review the Credit Card details and complete it now.","","","✅ COMPLETE NOW","https://cliquet.com/cq-gb-cc-en-mct-009/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"10","📋 REQUEST READY TO REVIEW

Your Credit Card request is ready to review.
Check the information and complete the available step.","","","📋 REVIEW NOW","https://cliquet.com/cq-gb-cc-en-mct-010/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"11","📋 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.","","","📋 REVIEW INFO","https://cliquet.com/cq-gb-cc-en-mct-011/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"12","📄 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.","","","📄 REVIEW INFO","https://cliquet.com/cq-gb-cc-en-mct-012/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"13","💬 CARD PROFILE UPDATE

The card recommendation flow has a new result ready. Review the details before continuing.","","","💬 VIEW RESULT","https://cliquet.com/cq-gb-cc-en-mct-013/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
"14","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","🔍 REVIEW CARD","https://cliquet.com/cq-gb-cc-en-mct-014/?utm_source=mct&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_content=[utm_content]","","","",""
