MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2
1,"⚠️ Important update, {{first_name}}

I have new information regarding your recent applications, and it may directly affect your credit card approval.
Take a moment to review the next steps.

👇 When you're ready, choose your next step below:",,,🔍 SEE RESPONSE OF MY CARD,https://newsoun.com/ns-gb-cc-en-mct-001/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
2,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth £14,200 in limit is sitting unclaimed under your name.

It's at the sorting center. Claim the delivery before it gets returned.",,,🚚 CLAIM DELIVERY,https://newsoun.com/ns-gb-cc-en-mct-002/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
3,"💳 CREDIT CARD APPROVED

Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. 

We just need you to confirm the delivery address.",,,🚚 CONFIRM NOW,https://newsoun.com/ns-gb-cc-en-mct-003/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
4,"✅ DELIVERY CONFIRMED
Your card with £15,000 limit is being prepared for dispatch
Verify your details to ship.",,,🚚 SHIP MY CARD,https://newsoun.com/ns-gb-cc-en-mct-004/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
5,"⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.",,,🚚 ASSIGN COURIER,https://newsoun.com/ns-gb-cc-en-mct-005/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
6,"📦 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.",,,📦 REVIEW INFO,https://newsoun.com/ns-gb-cc-en-mct-006/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
7,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. 

No more waiting. Tap to start.",,,🚀 ACTIVATE NOW,https://newsoun.com/ns-gb-cc-en-mct-007/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
8,"🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED. 

Tap to see your starting limit and shipping date.",,,📥 READ STATUS,https://newsoun.com/ns-gb-cc-en-mct-008/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
9,"✅ REQUEST RECEIVED

{{first_name}}, your Credit Card request was received successfully.
One confirmation step is available before the next review.",,,✅ CONFIRM NOW,https://newsoun.com/ns-gb-cc-en-mct-009/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
10,"📍 STATUS CONFIRMED

Your Credit Card request moved to the final review step.

Open the update and finish the process.",,,🟢 FINISH PROCESS,https://newsoun.com/ns-gb-cc-en-mct-010/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
11,"📬 DELIVERY NOTICE

Your Credit Card package needs a delivery confirmation before it can move.

Confirm your details here.",,,📬 CONFIRM NOW,https://newsoun.com/ns-gb-cc-en-mct-011/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
12,"📍 STATUS CHECKPOINT

Your Credit Card request reached a new checkpoint.
Review the status and confirm the next step below.",,,📍 CHECK STATUS,https://newsoun.com/ns-gb-cc-en-mct-012/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
13,"📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch.

Your package is queued — tap to confirm before the slot is reassigned.",,,🚚 CLAIM SHIPMENT,https://newsoun.com/ns-gb-cc-en-mct-013/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
14,"✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing.

It's at the fulfillment center. Confirm your address to release the shipment.",,,🌍 RELEASE SHIPMENT,https://newsoun.com/ns-gb-cc-en-mct-014/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
15,"📦 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.",,,✅ CONFIRM DETAILS,https://newsoun.com/ns-gb-cc-en-mct-015/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
16,"🚚 COURIER STEP READY

The courier step for your Credit Card package is available.

Confirm the delivery information to continue.",,,🚚 START DELIVERY,https://newsoun.com/ns-gb-cc-en-mct-016/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
17,"💳 CARD REVIEW READY

Your Credit Card review is available now.
Check the details prepared for your profile and continue from the secure page.",,,💳 REVIEW CARD,https://newsoun.com/ns-gb-cc-en-mct-017/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
18,"📝 CARD REQUEST REVIEW

Your Credit Card request review is ready.
Check the details and confirm the next step.",,,📝 REVIEW NOW,https://newsoun.com/ns-gb-cc-en-mct-018/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
19,"✅ REQUEST CONFIRMATION

Your request confirmation is ready.
Review the Credit Card details and complete it now.",,,✅ COMPLETE NOW,https://newsoun.com/ns-gb-cc-en-mct-019/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
20,"📋 REQUEST READY TO REVIEW

Your Credit Card request is ready to review.
Check the information and complete the available step.",,,📋 REVIEW NOW,https://newsoun.com/ns-gb-cc-en-mct-020/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
21,"📦 PACKAGE UPDATE: {{first_name}}, your Credit Card package is sealed and labeled.

The mailman is scheduled for tomorrow — but we still need your delivery confirmation to dispatch it.",,,🚚 CONFIRM DELIVERY,https://newsoun.com/ns-gb-cc-en-mct-021/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
22,"📍 ADDRESS CHECK

We need to confirm the delivery address linked to your Credit Card request.

Tap below to verify it.",,,📍 VERIFY ADDRESS,https://newsoun.com/ns-gb-cc-en-mct-022/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
23,"📦 PACKAGE CONFIRMATION

Your Credit Card package is marked ready for the next step.

Confirm your delivery details below.",,,✅ CONFIRM PACKAGE,https://newsoun.com/ns-gb-cc-en-mct-023/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
