template,message_id,status,approved,rejected,invalid_format,error,text,cta,link,backup_json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,1,ERROR,8,0,0,21,📬 DELIVERY NOTICE Your Credit Card package needs a delivery confirmation before it can move. Confirm your details here.,📬 CONFIRM NOW,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,2,ERROR,8,0,0,21,📍 STATUS CHECKPOINT Your Credit Card request reached a new checkpoint. Review the status and confirm the next step below.,📍 CHECK STATUS,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,3,ERROR,4,0,0,12,"📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch. Your package is queued — tap to confirm before the slot is reassigned.",🚚 CLAIM SHIPMENT,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,4,ERROR,4,0,0,15,"✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing. It's at the fulfillment center. Confirm your address to release the shipment.",🌍 RELEASE SHIPMENT,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,5,ERROR,4,0,0,15,📦 CARD PACKAGE READY Your Credit Card kit is prepared and waiting for delivery confirmation. Confirm your details to continue.,✅ CONFIRM DETAILS,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,6,ERROR,4,0,0,12,🚚 COURIER STEP READY The courier step for your Credit Card package is available. Confirm the delivery information to continue.,🚚 START DELIVERY,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,7,ERROR,4,0,0,12,💳 CARD REVIEW READY Your Credit Card review is available now. Check the details prepared for your profile and continue from the secure page.,💳 REVIEW CARD,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,8,ERROR,4,0,0,12,📝 CARD REQUEST REVIEW Your Credit Card request review is ready. Check the details and confirm the next step.,📝 REVIEW NOW,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,9,ERROR,2,0,0,11,✅ REQUEST CONFIRMATION Your request confirmation is ready. Review the Credit Card details and complete it now.,✅ COMPLETE NOW,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
Cliquet - US-CC-EN/EN - AV - g002-d Gustavo,10,REJECTED,1,1,0,11,📋 REQUEST READY TO REVIEW Your Credit Card request is ready to review. Check the information and complete the available step.,📋 REVIEW NOW,https://card.cliquet.com/Kn2ydx36?utm_source=facebook&utm_medium=g002-d&utm_campaign=[utm_campaign]&utm_term=cliquet-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/cliquet---us-cc-en-en---av---g002-d-gustavo-before-rollout-20260701-160109.json
