"MESSAGE ID","TEXT","DESCRIPTION","IMAGE","CTA 1","LINK 1","CTA 2","LINK 2","TEXT 2","APPROVAL"
"1","⚠️ Important update, {{first_name}}

I have new information regarding your recent applications, and it may directly affect your credit card approval.
Take a moment to review the next steps.

👇 When you’re ready, choose your next step below:","","","🔍 SEE RESPONSE OF MY CARD","https://portalrelevante.com/pr-us-cc-en-mct-001/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_1-1","","","",""
"2","📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name.

It’s at the sorting center. Claim the delivery before it gets returned.","","","🚚 CLAIM DELIVERY","https://portalrelevante.com/pr-us-cc-en-mct-001-2/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_1-2","","","",""
"3","💳 CREDIT CARD APPROVED

Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch.

We just need you to confirm the delivery address.","","","🚚 CONFIRM NOW","https://portalrelevante.com/pr-us-cc-en-mct-002/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_2-1","","","",""
"4","✅ DELIVERY CONFIRMED
Your card with $15,000 limit is being prepared for dispatch
Verify your details to ship.","","","🚚 SHIP MY CARD","https://portalrelevante.com/pr-us-cc-en-mct-002-2/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_2-2","","","",""
"5","⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery.

Tap to assign the courier and receive it today.","","","🚚 ASSIGN COURIER","https://portalrelevante.com/pr-us-cc-en-mct-003/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_3-1","","","",""
"6","📦 SHIPMENT UPDATE

Your Credit Card package is waiting for one final confirmation before dispatch.

Review your information here.","","","📦 REVIEW INFO","https://portalrelevante.com/pr-us-cc-en-mct-003-2/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_3-2","","","",""
"7","✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card.

No more waiting. Tap to start.","","","🚀 ACTIVATE NOW","https://portalrelevante.com/pr-us-cc-en-mct-004/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_4-1","","","",""
"8","🔔 (1) NEW CARD UPDATE

Your Credit Card status has changed to: APPROVED.

Tap to see your starting limit and shipping date.","","","📥 READ STATUS","https://portalrelevante.com/pr-us-cc-en-mct-005/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_5-1","","","",""
"9","✅ REQUEST RECEIVED

{{first_name}}, your Credit Card request was received successfully.
One confirmation step is available before the next review.","","","✅ CONFIRM NOW","https://portalrelevante.com/pr-us-cc-en-mct-005-2/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_5-2","","","",""
"10","📍 STATUS CONFIRMED

Your Credit Card request moved to the final review step.

Open the update and finish the process.","","","🟢 FINISH PROCESS","https://portalrelevante.com/pr-us-cc-en-mct-006/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_6-1","","","",""
"11","🔎 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","🔎 CONFIRM DETAILS","https://portalrelevante.com/pr-us-cc-en-mct-007/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_7-1","","","",""
"12","🔔 CARD PACKAGE READY

Your Credit Card kit is prepared and waiting for delivery confirmation.

Confirm your details to continue.","","","🔔 CONFIRM DETAILS","https://portalrelevante.com/pr-us-cc-en-mct-008/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_8-1","","","",""
"13","📋 REVIEW STEP OPEN

Your credit profile has card options available to review. Open the update and check the next step.","","","📋 CONFIRM DETAILS","https://portalrelevante.com/pr-us-cc-en-mct-009/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_9-1","","","",""
"14","✅ REVIEW STEP OPEN

Your credit profile has card options available to review. Open the update and check the next step.","","","✅ CONFIRM DETAILS","https://portalrelevante.com/pr-us-cc-en-mct-010/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_10-1","","","",""
"15","🔎 REVIEW STEP OPEN 

A new update for your request is available. Open the information and review the latest details.","","","🔎 CONFIRM DETAILS","https://portalrelevante.com/pr-us-cc-en-mct-010-2/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_10-2","","","",""
"16","💳 CARD REVIEW UPDATE

Your card request has a review step ready. Open the page to continue with the available options.","","","🔍 REVIEW CARD","https://portalrelevante.com/pr-us-cc-en-mct-011/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_11-1","","","",""
"17","📋 CARD REQUEST STATUS

A status check is available for your card profile. Review the details before moving forward.","","","✅ CHECK STATUS","https://portalrelevante.com/pr-us-cc-en-mct-012/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_12-1","","","",""
"18","🔎 CARD OPTIONS READY

Your card options are ready to compare. Open the update and confirm the next step.","","","📋 SEE OPTIONS","https://portalrelevante.com/pr-us-cc-en-mct-012-2/?utm_source=facebook&utm_medium=mg01-d&utm_campaign=pg_#PAGE_ID#&utm_campaign=bd_12-2","","","",""
